Rack Id,Cavity Id,Position,Sample Id,CONCENTRATION,CONCENTRATIONUNIT,VOLUME,USERDEFINED1,USERDEFINED2,USERDEFINED3,USERDEFINED4,USERDEFINED5,PlateErrors,SampleErrors,SAMPLEINSTANCEID,SAMPLEID
51_1,51_1_A001,A01,51_1_A001,1,calculated                                        ,-522.26,,,,,,i4,i4,1,1
51_1,51_1_A002,A02,51_1_A002,1,calculated                                        ,-522.26,,,,,,i4,i4,2,2
51_1,51_1_A003,A03,51_1_A003,1,calculated                                        ,-522.26,,,,,,i4,i4,3,3
51_1,51_1_A004,A04,51_1_A004,1,calculated                                        ,-522.26,,,,,,i4,i4,4,4
51_1,51_1_A005,A05,51_1_A005,1,calculated                                        ,-522.26,,,,,,i4,i4,5,5
51_1,51_1_A006,A06,51_1_A006,1,calculated                                        ,-522.26,,,,,,i4,i4,6,6
51_1,51_1_A007,A07,51_1_A007,1,calculated                                        ,-522.26,,,,,,i4,i4,7,7
51_1,51_1_A008,A08,51_1_A008,1,calculated                                        ,-522.26,,,,,,i4,i4,8,8
Sample Tracking Report Name : Plate Report Extended
Last action tracked : 10/25/2011 5:25:27 PM
Created by Admin at 10/25/2011 5:25:29 PM
:000011933618
