Rack Id,Cavity Id,Position,Sample Id,CONCENTRATION,CONCENTRATIONUNIT,VOLUME,USERDEFINED1,USERDEFINED2,USERDEFINED3,USERDEFINED4,USERDEFINED5,PlateErrors,SampleErrors,SAMPLEINSTANCEID,SAMPLEID
51_2,51_2_A001,A01,51_2_A001,1,calculated                                        ,-480,,,,,,i4,28,i4,i4,28,17,9
51_2,51_2_A002,A02,51_2_A002,1,calculated                                        ,-480,,,,,,i4,28,i4,i4,28,18,10
51_2,51_2_A003,A03,51_2_A003,1,calculated                                        ,-480,,,,,,i4,28,i4,i4,28,19,11
51_2,51_2_A004,A04,51_2_A004,1,calculated                                        ,-480,,,,,,i4,28,i4,i4,28,20,12
51_2,51_2_A005,A05,51_2_A005,1,calculated                                        ,-480,,,,,,i4,28,i4,i4,28,21,13
51_2,51_2_A006,A06,51_2_A006,1,calculated                                        ,-480,,,,,,i4,28,i4,i4,28,22,14
51_2,51_2_A007,A07,51_2_A007,1,calculated                                        ,-480,,,,,,i4,28,i4,i4,28,23,15
51_2,51_2_A008,A08,51_2_A008,1,calculated                                        ,-480,,,,,,i4,28,i4,i4,28,24,16
Sample Tracking Report Name : Plate Report Extended
Last action tracked : 10/25/2011 5:25:32 PM
Created by Admin at 10/25/2011 5:25:36 PM
:000012299940
